"name.keyword: Descending",Count
"APPLEGELIC MINISTRIES INC",2
"APPLIED CHRISTIANITY THROUGH SERVICE INC",2
"APPRENTICESHIP PROGRAM TRUST",2
"APPROPRIATE DWELLINGS INC",2
"AQUADOME ALTERNATIVE ARTS AND COMMUNITY CENTER",2
"AQUARIAN TABERNACLE CHURCH INC",2
"AQUATIC CLUB OF BAKERSFIELD",2
"ARAB BANKERS ASSOCIATION OF NORTH AMERICA DISASTER RELIEF FUND",2
"ARAB-AMERICAN CULTURAL & EDUCATIONAL CENTER",2
"ARABEL FOUNDATION INC",2
"ARABI CHARITABLE FOUNDATION INC",2
"ARAMARK 9-11 FUND",2
"ARBOR HILLS COUNTRY CLUB",2
"ARC ANGELS OF FLAGLER INC",2
"ARC MACHINE CO EMPLOYEE HEALTH VEBA TR",2
"ARC OF ARIZONA INC",2
"ARC OF CHARLEVOIX-EMMET",2
"ARC OF IOWA",2
"ARC OF VERMONT",2
"ARCADIA DWELLING PLACE CHURCH OF GOD",2
"ARCHAEOLOGY EXCAVATION INCORPORATED",2
"ARCHBISHOP ELKO FOUNDATION",2
"ARCHES ARCHITECTS IN ELEMENTARY SCHOOLS",2
"ARCHIBECK MINISTRIES",2
"ARCHIGOS PROJECT",2
"ARCHWAY REGIONAL TOURISM ASSOCIATION",2
"ARETE PROGRAM",2
"ARGENBRIGHT CHARITABLE SUPPORT ORGANIZATION",2
"ARGENTA-OREANA PUBLIC LIBRARY DISTRICT FOUNDATION",2
"ARGONAUTS FOUNDATION",2
"ARH FOUNDATION",2
"ARISE SHINE MINISTRIES INC",2
"ARIZONA ASSOCIATION OF THE GIFTED & TALENTED",2
"ARIZONA CHAPTER MPS 1 SEEKERS",2
"ARIZONA CONSERVATION AND EDUCATION FOUNDATION INC",2
"ARIZONA FEDERAL TAX INSTITUTE",2
"ARIZONA FEDERATION OF GARDEN CLUBS",2
"ARIZONA FREE ENTERPRISE EDUCATIONAL FOUNDATION",2
"ARIZONA HEALTH CENTERS",2
"ARIZONA INNOVATION NETWORK",2
"ARIZONA SCHOOL HEALTH ASSOCIATION",2
"ARIZONA SOCIETY OF PLASTIC & RECONSTRUCTIVE SURGEONS INC",2
"ARIZONA STATE COUNCIL OF HOSPITAL PHARMACISTS INC",2
"ARIZONA SUDDEN INFANT DEATH FOUNDATION",2
"ARIZONA WOMENS CANCER NETWORK INC",2
"ARIZONA YOUTH SYMPHONY",2
"ARK FOUNDATION",2
"ARKADELPHIA COUNTRY CLUB INC",2
"ARKANSAS CHAPTER OF POLIO SYNDROME ASSOCIATION",2
"ARKLAHOMA HEALING ARTS ALLIANCE INC",2
"ARLENES COMMUNITY NETWORK SERVICES FOR SENIORS AND DISABLED PERSONS",2
"ARMAND AND LYNN SHAPIRO FAMILY FOUNDATION",2
"ARMOUR-WOLO FOUNDATION INC",2
"ARMY AVIATION ASSOCIATION OF AMERICA INC",2
"ARNAUDVILLE AREA COMMUNITY ACTION INC",2
"ARNOLD I & ADELYNE ROTH LEVINE FOUNDATION",2
"AROOSTOOK HOME CARE AGENCY INC",2
"ARREST ALS INC",2
"ARSENAL F C INC",2
"ARSENAL FAMILY AND CHILDRENS CENTER ENDOWMENT",2
"ART & SOUL INC",2
"ART ABRAM SWING MACHINE",2
"ART ART BARKING DOG DANCE COMPANY",2
"ART FOR MS INC",2
"ART MATRIX INC",2
"ART OF GIVING FOUNDATION",2
"ART PARTY INC",2
"ART SCIENCE AND TECHNOLOGY INSTITUTE ASTI",2
"ART WEB",2
"ARTESIAN INC",2
"ARTESIAN INDUSTRIES MEDICAL BENEFIT PLAN C/O ARTESIAN INDUSTRIES INC",2
"ARTGROWTH 2000",2
"ARTHRITIS ASSOCIATION OF INDIAN RIVER COUNTY INC",2
"ARTHUR & MARIE HEGARTY FOUNDATION",2
"ARTHUR PURVIS MINISTRIES INC",2
"ARTICHOKE MINISTRIES INC",2
"ARTIE BS BRIDGE OF HOPE INC",2
"ARTIST SPACE INC",2
"ARTISTS UNLIMITED",2
"ARTS CONSERVATORY THEATER & STUDIO",2
"ARTS COUNCIL OF ORANGE COUNTY",2
"ARTS COUNCIL OF YOUNGSTOWN AND MAHONING COUNTY",2
"ARTS INCORPORATED IN HUMAN SERVICES LTD",2
"ARTS INSTITUTE OF WHIDBEY ISLAND",2
"ARTS UNLIMITED INC ARTS COUNCIL OF FALL RIVER",2
ARTSPACE,2
"ARTWORKS EDUCATIONAL FOUNDATION",2
"ASABA PROGRESSIVE UNION",2
"ASBESTOS FREE TEXAS",2
"ASCORAP MISSION",2
"ASHLAND JUNIORS VOLLEYBALL",2
"ASHRAF HABIBULLAH FOUNDATION",2
"ASIA DISCIPLESHIP RESOURCES INC",2
"ASIA-PACIFIC COUNCIL OF OPTOMETRY",2
"ASIAN HERITAGE COUNCIL",2
"ASIANS AGAINST DOMESTIC ABUSE INC AADA",2
"ASOCIACION DE EX-ALUMNOS DEL COLEGIO AMERICA DEL CALLAO",2
"ASOCIACION DEL INSTITUTO DOMINICANO DE ENFERMEDADES RESPIRATORIAS INC",2
"ASOCIACION DOMINICANA DE LA FLORIDA CENTRAL INC",2
"ASOCIACION ESFUERZO UNIDO POR PIEDRA BLANCA BONAO INC",2
"ASOCIATION DEL MUNICIPIO DO REMEDIOSEN ELEXILIO INC TERM",2
"ASPIRING BETTER COMMUNITY INC",2
"ASSCIATION FOR COMPUTING MACHINERY",2
"ASSEMBLIES OF YAHWEH INC",2
"ASSISTANCE SERVICES FOR PEOPLE IN NEED INC",2
"ASSISTING TEXAS WITH HOUSING 2200 PECAN BOULEVARD",2
"ASSOC FOR THE ADVANCMT OF POLICY RESERCH & DEVEMT IN THE 3RD WORLD",2
"ASSOC MASTER BARBERS & BEAUTICIANS",2
"ASSOC OF FRIENDS OF PASSAGES INC",2
"ASSOCIATE ALUMNAE OF BARNARD COLLEGE",2
"ASSOCIATE INC",2
"ASSOCIATED FAMILY DEVELOPERS INC",2
"ASSOCIATED GENERAL CONTRACTORS OF CENTRAL FLORIDA INC",2
"ASSOCIATED MALE CHORUS OF AMERICA",2
"ASSOCIATED OREGON INDUSTRIES FOUNDATION",2
"ASSOCIATED REHABILITATION COUNSELING SPECIALISTS INC",2
"ASSOCIATION DE CHARROS LA HERRADURA",2
"ASSOCIATION EVANGELIQUE DES DEMUNIS INC",2
"ASSOCIATION FOR BIBLE STUDY",2
"ASSOCIATION FOR CLINICAL PSYCHOSOCIAL RESEARCH",2
"ASSOCIATION FOR COMPENSATORY EDUCATORS OF TEXAS",2
"ASSOCIATION FOR COMPUTER SCIENCES",2
"ASSOCIATION FOR COMPUTIN MACHINERY",2
"ASSOCIATION FOR INFORMATION AND IMAGE MANAGEMENT INTERNATIONAL",2
"ASSOCIATION FOR MAXIMUM SERVICE TELEVISION INC",2
"ASSOCIATION FOR PROFESSIONALS IN INFECTION CONTROL AND EPIDEMIOLOGY",2
"ASSOCIATION FOR READING DEVELOPMENT",2
"ASSOCIATION FOR RETARDED CITIZENS TEXAS",2
"ASSOCIATION FOR SELF-EMPLOYMENT SUCCESS",2
"ASSOCIATION FOR SPIRTUAL AWARENESS",2
"ASSOCIATION FOR SYSTEMS MANAGEMENT CLEVELAND",2
"ASSOCIATION FOR SYSTEMS MANAGEMENT DIV 8",2
"ASSOCIATION FOR SYSTEMS MANAGEMENT NORTHERN NEW JERSEY",2
"ASSOCIATION FOR SYSTEMS MANAGEMENT TOLEDO",2
"ASSOCIATION FOR THE ADVANCEMENT OF THE HAITIEN PEOPLE",2
"ASSOCIATION FOR THE CALLIGRAPHIC ARTS INC",2
"ASSOCIATION FOR THE HUNGERFORD ARCHIVES INC",2
"ASSOCIATION FOR THE PRESERVATION OF PASADENA NEIGHBORHOODS",2
"ASSOCIATION OF AFRICAN-AMERICAN COMMUNITY ACTION LEADERS",2
"ASSOCIATION OF BRETHREN CAREGIVERS",2
"ASSOCIATION OF CHARTERED TREASURY MANAGERS",2
"ASSOCIATION OF CLINICAL RESEARCH PROFFESSIONALS",2
"ASSOCIATION OF COMMUNICATION CONTRACTORS",2
"ASSOCIATION OF ELITE ATHLETES INC",2
"ASSOCIATION OF FAITH CHURCHES AND MINISTERS INC",2
"ASSOCIATION OF FORMER OSI SPECIAL AGENTS INC",2
"ASSOCIATION OF GOVERNMENT ACCOUNTANTS",2
"ASSOCIATION OF NATIONAL GOVERNMENT CONTRACTORS INC",2
"ASSOCIATION OF NIGERIAN PROFESSIONAL EDUCATORS OF DFW",2
"ASSOCIATION OF OREGON GARDENS INC",2
"ASSOCIATION OF PROFESSIONAL EMPLOYEES SIEMENS TELECOM NETWORKS",2
"ASSOCIATION OF PSYCHIATRIC OUTPATIENT CENTERS OF AMERICA INC",2
"ASSOCIATION OF RETAIL MARKETING SERVICES INC",2
"ASSOCIATION OF SAFETY GROUPS",2
"ASSOCIATION OF SYCAMORE SCHOOLS PARENT ORGANIZATION",2
"ASSOCIATION OF TEACHERS OF VETERINARY PUB HLTH & PRVNTVE MED",2
"ASSOCIATION OF UNIVERSITY OF WISCONSIN PROFESSIONALS INC WFT-AF",2
"ASSOCIATION OF WA TAN YE CLUBS",2
"ASSOCIATION OF WESTERN STATES EMPLOYERS INCORPORATED",2
"ASSOCIATION OF WOMENS BUSINESS CENTERS",2
"ASSOCIATION OFR SYSTEMS MANAGEMENT",2
"ASSOCIATIONS OF RELAXING WOMEN INC",2
"ASTORIA COMMUNITY SERVICE INC",2
"ASTORIA FAMILY PRESCHOOL",2
"ASTORIA FOURSQUARE CHURCH",2
"AT1 CORP",2
"ATASCOCITA FOREST SWIM TEAM",2
"ATELA CORPORATION",2
"ATHENA-WESTON JOIN HANDS",2
"ATHENS AREA TECHNOLOGY COUNCIL INCORPORATED",2
"ATHENS CHAPTER OF THE WOMENS ARMY CORPS VETERANS ASSOCIATION INC",2
"ATHENS COMMUNITY RECOVERY RESOURCE CENTER INC",2
"ATHENS IN KANSAS CITY",2
"ATHENS POLICE OFFICERS ASSOCIATION",2
"ATHOL DOWNTOWN PARTNERSHIP",2
"ATID JEWISH DAY SCHOOL INC",2
"ATLANTA ALL CHRISTIAN PRAYING MINISTRY INC",2
"ATLANTIC PRIORY-OSJ USA INC",2
"ATLANTIC TEAM BOOSTERS",2
"ATLANTIS HEALING CENTER INC",2
"ATREVETE LATINO YOUTH INC",2
"ATTACHMENT DISORDER PARENTS NETWORK",2
"ATTENTION DEFICIT DISORDER CENTER OF ANN ARBOR INC",2
"ATTLEBORO AREA BOARD OF REALTORS INC",2
"ATTLEBORO FRIENDS OF CATS INC",2
"AUBREY HAWKINS CRIMINAL JUSTICE CENTER",2
"AUBURN SQUARE MERCHANTS ASSOCIATION",2
"AUDITORY ORAL ACTION COMMITTEE",2
"AUGUSTANA ACADEMY",2
"AURORA FOURSQUARE CHURCH",2
"AURORA MUSIC ENSEMBLE",2
"AUSTIN ATHLETIC FOUNDATION INC",2
"AUSTIN BASEBALL EAGLES INC",2
"AUSTIN Bat House Building Workshop (Lamar)",2
"AUSTIN CENTER FOR ATTITUDINAL HEALING ING",2
"AUSTIN HWY REVITALIZATION PROJECT INC",2
"AUSTIN PROCHORUS INC",2
"AUSTIN RECORDING FOR THE BLIND ENDOWMENT",2
"AUSTIN THEATRE FOR YOUTH",2
"AUSTINSWIMS INC",2
"AUTISM ADVOCACY AND OUTREACH GROUP INC",2
"AUTISM EDUCATION FOUNDATION TR",2
"AUTISM FUND-SPECIAL NEEDS OF LANCASTER",2
"AUTOMOTIVE COMPOSITES ALLIANCE",2
"AUTOMOTIVE SERVICE ASSOCIATION OF OREGON INC",2
"AUTOMOTIVE SERVICE COUNCILS OF CALIFORNIA",2
"AUTUMN HARVEST COMMITTEE INC",2
"AUXILIARY TO THE MEDICAL SOCIETY OF ORANGE COUNTY INC",2
"AVAILABLE TO YOU OUTREACH MINISTRIES INC",2
"AVALON SCHOOL INC",2
"AVENUE 24 PRISON EMPLOYEE ASSOCIATION INC",2
"AVERY MONET FOUNDATION",2
"AVIATION YOUTH ACADEMY",2
"AVISTA BIBLE INSTITUTE INC",2
"AVUE INSTITUTE",2
"AW MUSIC MACHINE",2
"AYALA FOUNDATION FOR EDUCATIONAL EQUALITY",2
"AYDEN GRIFTON RURAL COMMUNITY OUTREACH CORPORATION",2
"AYER ANDERSON FOUNDATION INC",2
"AZ DESPERADOS BASEBALL CLUB",2
"AZZURRI NEL MONDO OF CALIFORNIA INC",2
"Aace International",2
"Abbottson Manor",2
"Abcd, Inc.",2
"Abe L Blinder Foundation Inc",2
"Abiding Faith Ministries Inc",2
"Able Handicap Industries, Inc.",2
"Absentee Shawnee Scholarship Fund, Inc.",2
"Absolute Return for Kids US",2
"Absolutely Nutritious, Inc.",2
"Abundant Life EPC",2
"Abundant Living Christian Fellowship",2
"Acacia Community School, Inc.",2
"Academic Year in New York City",2
"Academy American and International Law Alumni Association",2
"Academy Network Systems",2
"Academy of Gymnastic Parents Association, Inc.",2
"Accent On Information Inc",2
"Accha, Inc.",2
"Aces Swim Club, Inc.",2
"Achievements Worldwide Inc",2
"Achieving Change Together Inc",2
"Achilles Productions Ltd",2
"Ackco Services, Inc.",2
"Acna Foundation",2
"Acorn Foundation",2
"Acres for Recreation Fund",2
"Action 36 KICU Television Charitable Foundation",2
"Action Center for Citizens in Education",2
"Action Through Education Alternative and Mind Power",2
"ActionAid USA",2
"Activities Unlimited",2
"Acts Contributing To Solutions for the Homeless, Inc.",2
"Adah M Robinson Memorial Fund",2
"Adele Kanarek Memorial Foundation",2
"Aditi Institute of Fine & Performing Arts Assoc",2
"Admirals of the Fleet of Florida, Inc.",2
"Adolescent Counseling Center, Inc.",2
"Adopt-A-Pet Columbus, Inc.",2
"Adopt-A-Pet, Inc.",2
"AdoptAPlatoon Soldier Support Effort",2
"Adoption Choice of America",2
"Adoption Compass",2
"Adoptive Families of Western Wisconsin, Inc.",2
"Aducation, Inc.",2
"Adult Day Care Center, Inc.",2
"Adult Literacy Center-Rosebud County",2
"Advanced Geriatric Environments, Inc.",2
"Advanced Sciences Research & Development Corp.",2
"Adventure With the Bible, Inc.",2
"Adventures in Learning, Inc.",2
"Advocacy Services, Inc.",2
"Advocate Club for the Disabled",2
"Advocates and Parents of Oklahoma's Sight Impaired, Inc.",2
"Advocates for Academic and Creative Excellence, Inc.",2
"Advocates for Better Child Support",2
"Advocates for Hearing Impaired Youth, Inc.",2
"Advocates for Life, Inc.",2
"Advocates for the American Osteopathic Association",2
"Aerial Arts Movement Education & Performance Center",2
"Aeromedical Training Institute Limited",2
"Aerosmith Foundation, Inc.",2
"Aerospace Foundation of Oklahoma",2
"Aerospace Support Team, Inc.",2
"Affiliated Community Visiting Nurse Association, Inc.",2
"African American Culture Tours Project, Inc.",2
"African American Parents For Higher Education",2
"African American Real Estate Professionals of New York, Inc.",2
"African American Support Group of Greater Holland",2
"African Business Round Table - USA Foundation",2
"African Diaspora Music And Art Inc",2
"African Heritage Outreach Community Center",2
"African-American Sports Hall of Fame",2
"Afrikan Arts Council",2
"Afro-American Historical and Genealogical Society",2
"Afterburners Youth Track Club",2
"Agape Housing Cares Community Mental Health",2
"Agape Outreach",2
"Age Link of Lee County, Inc.",2
"Aggressive Drive Against Povertys Traditions",2
"Agilent Technologies Inc Employee Scholarship Organization Tr",2
"Aglow International of Rockford Illinois",2
"Agora Dance Theater CO, Inc.",2
"Aguadilla Day Care Center In",2
"Agudath Israel of America",2
"Aicardi Syndrome Newsletter, Inc.",2
"Aijalon Ministries, Inc.",2
"Aim for Literacy, Inc.",2
"Air Force Sergeants Association",2
"Aisc Education Foundation, Inc.",2
"Akron Rubber Group Inc",2
"Akron Women's Committee of Blossom Music Center, Inc.",2
"Al Dittrich Foundation",2
"Al-Senior Center",2
"Alabama Church Liberty Fund",2
"Alabama Dental Association Relief Fund",2
"Alabama Society for Parenteral & Enteral Nutrition",2
"Alacosta Divers Corporation",2
"Alameda Athletic Association, Inc.",2
"Alano Club of Santa Paula",2
"Alano Serenity Club of Merced",2
"Alano Society of Sioux Falls South Dakota",2
"Alano of Sheridan Inc",2
"Alaska Alpine Rescue Group",2
"Alaska Christian Family, Inc.",2
"Alaska Conservation Foundation",2
"Alaska Country Strings Association",2
"Alaska Institute for Research & Public Service",2
"Alaska International Charities",2
"Alaska State Fair Historical Educational & Arts Foundation, Inc.",2
"Alaska Women in Timber",2
"Alaska-Chukotka Great Race, Inc.",2
"Albany Cornerstone Foundation",2
"Albany Regional Senior Baseball League",2
"Albany State College National Alumni Association Waycross Chapter",2
"Albee and Friends",2
"Albert & Judith Schmeidler Foundation, Inc.",2
"Albert Otten Foundation Trust",2
"Alchemist's Apprentice",2
"Alcoholics for Alcoholics",2
"Alcott School PTA",2
"Alexander Angus McDonell Foundation, Inc.",2
"Alexander PTO",2
"Alexandria A S Baseball",2
"Alexandria Center for Employment, Inc.",2
"Alfred W French Foundation",2
"Algonquin Project Playground",2
"Alinda Youth Services, Inc.",2
"Alisal School Facilities Corp.",2
"Alisos Institute",2
"All American Singers",2
"All Arts, Inc.",2
"All Day Foundation",2
"All Saints Advanced Imaging",2
"All Saints Episcopal Hospital Auxiliary Health Care Scholarship",2
"All Saints School Foundation",2
"All Seasons Food Rescue",2
"Allegheny Lutheran Social Ministries Workers Comp Self-Insurance Trust",2
"Allegheny Shell Fish Society",2
"Allegheny Valley Land Trust",2
"Allen & Susan Finkelson Charitable Foundation Trust",2
"Allen County Arts Council, Inc.",2
"Allen County Juvenile Justice Task Force, Inc.",2
"Allen Foundation, Inc.",2
"Allen Park High School Band Parents Association",2
"Alley Cats Fundraisers",2
"Alliance Capital Charitable Foundation",2
"Alliance Church of Klamath Basin of the Christian & Missionary Alliance",2
"Alliance Church of Winter Haven FL",2
"Alliance On Aging Auxiliary",2
"Alliance for Aging Independently, Inc.",2
"Alliance for Cooperative Justice",2
"Alliance for Education, Inc.",2
"Alliance for Jewish Children",2
"Alliance for Mental Health Services",2
"Alliance for Quality Education",2
"Alliance of Black Lucent Employees Inc",2
"Alliance of Black Telecommunications Employees Inc",2
"Alliance of Black Telecommunications Employees, Inc.",2
"Alliance of Divine Love Inc",2
"Alliances-an African Womens Network Inc",2
"Allied Research Society, Inc.",2
"Alligator Alumni Association, Inc.",2
"Alma School Foundation",2
"Almaden Football League",2
"Alpha Chi Rho Fraternity",2
"Alpha Kappa Psi-Indiana Inc",2
"Alpha Omega International Dental Fraternity, Inc.",2
"Alpha Phi Alpha M. Byron Rumford Scholarship Foundation",2
"Alpha Women's Center",2
"Alpine Springs Association, Inc.",2
"Altavista Area Community Chest",2
"Alternate Direction, Inc.",2
"Alternate Energy Research Institute",2
"Alternative Learning Center of Brookings",2
"Alternative School Group Luckiamute School",2
"Alumni Association of Medical College P N U Inc",2
"Alumni Association of San Benito College",2
"Alumni Association of St. Paul's College",2
"Alzheimer's Disease and Related Disorder Association",2
"Alzheimer's Home Care, Inc.",2
"Amador Community Concert Association",2
"Amador County Search and Rescue",2
"Amalfi Music, Inc.",2
"Amalgamated Transit Union",2
"Amanda Marie Andre Memorial Fund",2
"Amarillo World War II Commemorative Committee",2
Amase,2
"Amateur Athletic Union of the US",2
"Amateur Radio Club of Olney, Inc.",2
"Amateur Sports Development USA",2
"Amazing Grace Lutheran Church",2
"Amazon Community Housing",2
"Ambassador School",2
"Ambassadors N & B Inc",2
"Amer-I-Can Cleveland",2
"American Academy of Middle Eastern Dance, Inc.",2
"American Association for Cancer Support",2
"American Atheist Veterans Inc",2
"American Beverage Institute",2
"American Board of Nutrition",2
"American Business Womens Assoc",2
"American Camping Association, Inc.",2
"American Caribbean Scholarship Fund, Inc.",2
"American Choral Foundation, Inc.",2
"American Chronic Pain Association Southern California Region Inc",2
"American Classic Repertory",2
"American Classical College",2
"American College of Physicians",2
"American Committee To Invigorate the King Holiday",2
"American Cooperative Health Trust",2
"American Criminal Justice Association Lambda Alpha Epsilon",2
"American European Fellowship for Christian Oneness Evangelization",2
"American Federation of Labor & Congress of Industrial Orgs",2
"American Federation of Teachers Unit 4 Local 4708",2
"American Friends of Ashdod Community Center",2
"American Friends of Israel Comm Development Foundation, Ltd.",2
"American Friends of Lev Avrohom Inc",2
"American Friends of Narla Research Institute and Library",2
"American Friends of Rabbinical College of Telzstone",2
"American Friends of the Hall of Heroism, Inc.",2
"American Friends of the International Disability FDN Inc",2
"American Friends of the Israel Democracy Institute",2
"American GI Forum of the U S",2
"American HOPES, Inc.",2
"American Harp Society",2
"American Heritage Schools, Inc.",2
"American Hungarian Friendship and International Care Association, Inc.",2
"American Indian Diabetic And Medical Aid Association",2
"American Indian Institute for Innovation",2
"American Institute for Performing & Fine Arts Mgt, Inc.",2
"American Institute of Banking Big Horn Chapter",2
"American Institute of Banking Missoula Montana Chapter",2
"American International School Support Foundation, Inc.",2
"American Jesuit Missionary Foundation, Inc.",2
"American Jewish Committee",2
"American Kidney Fund",2
"American Legends",2
"American Legion Auxiliary",2
"American Literacy Association",2
"American Lung Assoc. of Green County Oklahoma",2
"American Lutheran Church Project Love",2
"American Mothers, Inc.",2
"American Orff-Schulwerk Association",2
"American Peace Watch Foundation",2
"American Refugee Committee",2
"American Registry of Pathology",2
"American Respite Relief Association, Inc.",2
"American Slovenian Catholic Union",2
"American Society Of Women Accountants Scholarship Fund",2
"American Society for Molecular Marine Biology & Biotechnology",2
"American Society of Italians and Friends, Inc.",2
"American Society of Journalism School Administrators",2
"American Stage Network, Inc.",2
"American Tutoring Association",2
"American Unity Foundation, Inc.",2
"American University in Kyiv",2
"American Veterinary History Society",2
"American Virgin Islanders Cultural Heritage Association of New York City, Inc.",2
"American Vocal Ensemble",2
"American Walkabout Incorporated",2
"Americans United To Help Inc",2
"Americans United for Separation of Church and State",2
"Americans for Energy Independence, Inc.",2
"Americare Farms, Inc.",2
"Americas Children Village, Inc.",2
"Americas Hungry",2
"Ames Family Fund, Inc.",2
"Amherst Christian Center Inc",2
"Amherst Family Center, Inc.",2
"Amhs, Inc.",2
"Amistad Singers",2
"Amnesty International",2
"Amnet, Inc.",2
"Amyotrophic Lateral Sclerosis Association",2
"An Open Door Pregnancy Resource Center",2
"Anaheim Servicemens Center for Orange County, Inc.",2
"Anahola Ocean Recreation",2
"Anawim Housing, Inc.",2
"Anchor Building Fund Inc.",2
"Anchorage Music Series, Inc.",2
"Anchorage Racing Association, Inc.",2
"Anderson County Visions for Youth",2
"Andrea Levine Foundation",2
"Andrew John Foundation",2
"Andy Bellows Evangelistic Association",2
"Anesthesia Research Fund, Inc.",2
"Angelinos for Culture and a Healthy Environment",2
"Angels Unlimited, Inc.",2
"Angleton Pal",2
"Anglican Cursillo Community of South Dakota",2
"Animal Rescue League",2
"Animal Sanctuary",2
"Animalink, Inc.",2
"Ann Arbor Association for Responsible Animal Treatment",2
"Ann Arbor Mutual Housing Association",2
"Ann Mira Das Memorial Scholarship Fbo Lehman High School",2
"Anne Ash Moss Scholarship Foundation",2
"Anne T. Hall Foundation",2
"Another Vision, Inc.",2
"Answers Research & Education, Inc.",2
"Anthony F. and Dena Marie Berenato Charitable Trust",2
"Anthony Foster Gray Trust",2
"Antioch Baptist Church Community Development Corp.",2
"Antioch Concert Guild",2
"Antrim-Kalkaska Literacy Council",2
"Aoc Educational Foundation, Inc.",2
Apart,2
"Apics Educational & Research Foundation, Inc.",2
"Apostle Ministries",2
"Apostolic Church of Jesus Christ",2
"Apostolic Faith Assembly",2
"Appaloosa Track Club of San Jose",2
"Appleseed Project, Inc.",2
"Apt Foundation",2
"Arab American Association of Stark County Ohio",2
"Arab American Cultural Society",2
"Arab-American Cultural Center, Inc.",2
"Arabesque Concert Dance, Inc.",2
"Arashiyama West Primate Center",2
"Arboridge Care Center, Inc.",2
"Arc Apartments Inc",2
"Arc Pennsylvania",2
"Arc Texas",2
"Arc Waushara County",2
"Arc Western Racine County",2
"Arc of Delaware County",2
"Arc of Oregon Endowment for the Handicapped",2
"Arc-Wisconsin",2
"Archdiocesan Elementary School Principals Association, Inc.",2
"Architectural Foundation of the East Bay",2
"Architecture Rescue Foundation",2
"Archway Programs Pennsylvania Inc",2
"Arctic Community Theatre",2
"Arctic Institute of North America",2
"Arctic Marine Resources Commission",2
"Arctic Moon Stage Company",2
"Ardmore Dugout Club",2
"Area Adoptive Parents Association, The",2
"Area C Community Development Association",2
"Areivim Philanthropic Group",2
"Ariadne Press Incorporated & Carol F Hoover",2
"Arid Club of Portage Michigan, Inc.",2
"Ariel Church of the Fourth Way, Inc.",2
"Arizona State University College of Business Foundation",2
"Arizonans for Health",2
"Ark Animal Sanctuary",2
"Ark of Hope",2
"Arkansas Society of Clinical Hematologists, Inc.",2
"Arkansas Valley Parent Education Association, Inc.",2
"Arkville Bible Church of the Christian and Missionary Alliance",2
"Arline Guefen Foundation",2
"Arlington Art Association, Inc.",2
"Arlington Housing Associates Inc 4 Winslow St",2
"Arlington Releaf, Inc.",2
"Armada Area Recreation and Parks",2
"Armaris Fund",2
"Armenian Relief and Development Association (ARDA)",2
"Armory Action Committee, Inc.",2
"Armstrong County Conservancy Charitable Trust",2
"Arrington Kihle Gaberino & Dunn, Inc. Foundation",2
"Arrowood Books, Inc.",2
"Art Institute of Chicago Trust",2
"Art Vision",2
"Arteriosclerosis Research Foundation",2
"Artfriends Foundation, Inc.",2
"Artgrace Freeman Charitable Foundation",2
"Arthritis Foundation, Inc.",2
"Arthur B Schmidt & Ruth Kirk Schmid T Charitable Trust",2
"Arthur Cohen Tr Fbo Alice Cohen",2
"Arthur R. and Deborah S. Ablin Foundation",2
"Artist Development, Inc.",2
"Artists Enterprise Theatre",2
"Arts & Crafts Community Educational Services, Inc.",2
Artsmart,2
"Asbestos Disease Association",2
"Asbestos Workers Union 76 & Western States Insulation Contr Association NM TX",2
"Asbury Manor, Inc.",2
"Aseracare Hospice Foundation",2
"Ash Family Foundation, Inc.",2
"Ashe Foundation Inc",2
"Asher & Debra Roshanzamir Family Foundation",2
"Ashland Council for Retarded Children",2
"Asian American Enterprises, Inc.",2
"Asian American Federation of Union Members",2
"Asilah Forum Foundation",2
"Asociacion De Vivienda Del Pueblo Pobre De Monte Alto",2
"Aspen Booster Club",2
"Assembly of Faith Community Church",2
"Assembly of Free Worship Church",2
"Assessment Consultation and Training Inc",2
"Assisting Indigenous Development, Inc.",2
"Assistive Technologies Group",2
"Associated Black Harvard Alumni of New York, Inc.",2
"Associated Christian Ministries, Inc.",2
"Associated Group Homes, Inc.",2
"Associated Jewish Charities Special Fund, Inc.",2
"Associated Recreation Council",2
"Associates for Human Potential, Inc.",2
"Association For Better Child Care Development & Education Inc",2
"Association For Women In Science Inc",2
"Association Fro Computing Machinery",2
"Association for Childhood Edu Intl State Associations-Pennsylvania",2
"Association for Children and Adults With Learning Disabilities",2
"Association for Computing Machinery",2
"Association for Equal Information and Government Integrity",2
"Association for Handicapped Children of Oakwood School, Inc.",2
"Association for Human Advancement and Development, Inc.",2
"Association for Learning and Behavioral Problems, Inc.",2
"Association for Quality and Participation",2
"Association for Research and Assistance",2
"Association for Retarded Citizens Texas Inc",2
"Association for Women in Science Cal Poly Pomona Chapter AWIS, Inc.",2
"Association for the Advancement of Indian Immigrants",2
"Association for the Severly Handicapped",2
"Association of Academic Health Sciences Library Directors",2
"Association of Communicators in Baptist Education",2
"Association of Critics and Commentators of the Arts, Inc.",2
"Association of Former Vietnamese Pol Prisoners in Sacramento & Its Neighborhood",2
"Association of Haitian Youth Working for Progress",2
"Association of Northwest Symphony Orchestras",2
"Association of Notre Dame Clubs, Inc.",2
"Association of Pediatric Oncology Nurses",2
"Association of Pedodontic Diplomates Foundation",2
"Association of WA-Tan-Ye Clubs",2
"Assyrian National Aid Society",2
"Asta Disaster Recovery Fund, Inc.",2
"Asthma & Allergy Foundation Of America",2
